Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
Staff Of Divination,strong divination,13,none,"82,000 gp",5 lbs.,"Made from a supple length of willow carefully selected to have a crooked, forked tip, a staff of divination allows use of the following spells:   • Detect secret doors (1 charge)   • Locate object (1 charge)   • Tongues (1 charge)   • Locate creature (2 charges)   • Prying eyes (2 charges)   • True seeing (3 charges)","Craft Staff, detect secret doors, locate creature, locate object, prying eyes, tongues, true seeing","41,000 gp",Staff,Ultimate Equipment,strong,5,82000,41000,,,1625
Staff Of Earth And Stone,moderate transmutation,11,none,"85,800 gp",5 lbs.,This staff is topped with a fist-sized emerald that gleams with smoldering power. It allows the use of the following spells:   • Move earth (1 charge)   • Passwall (1 charge),"Craft Staff, move earth, passwall","42,900 gp",Staff,Ultimate Equipment,moderate,5,85800,42900,,,1626
Staff Of Eidolons,moderate conjuration and transmutation,8,none,"14,400 gp",5 lbs.,This crooked staff is made of mahogany and decorated with the bones of eidolons that jut out of the wood. It allows the use of the following spells:   • Lesser rejuvenate eidolon (1 charge; Advanced Player's Guide)   • Unfetter (1 charge; Advanced Player's Guide)   • Lesser evolution surge (2 charges; Advanced Player's Guide),"Craft Staff, lesser evolution surge, lesser rejuvenate eidolon, unfetter","7,200 gp",Staff,Ultimate Equipment,moderate,5,14400,7200,,,1627
Staff Of Electricity,moderate evocation,11,none,"31,900 gp",5 lbs.,"This staff is made of shining silver, with a tip shaped like a lightning bolt. The staff allows use of the following spells:   • Shocking grasp (1 charge)   • Lightning bolt (2 charges)   • Chain lightning (3 charges)","Craft Staff, chain lightning, lightning bolt, shocking grasp","15,950 gp",Staff,Ultimate Equipment,moderate,5,31900,15950,,,1628
Staff Of Enchantment,strong enchantment,13,none,"82,000 gp",5 lbs.,"Often made from applewood and topped with a clear crystal, this staff allows use of the following spells:   • Hideous laughter (1 charge)   • Sleep (1 charge)   • Suggestion (1 charge)   • Crushing despair (2 charges)   • Mind fog (2 charges)   • Mass suggestion (3 charges)","Craft Staff, crushing despair, hideous laughter, mass suggestion, mind fog, sleep, suggestion","41,000 gp",Staff,Ultimate Equipment,strong,5,82000,41000,,,1629
Staff Of Evocation,strong evocation,13,none,"82,000 gp",5 lbs.,This smooth staff carved from hickory or yew allows use of the following spells:   • Fireball (1 charge)   • Magic missile (1 charge)   • Shatter (1 charge)   • Ice storm (2 charges)   • Wall of force (2 charges)   • Chain lightning (3 charges),"Craft Staff, chain lightning, fireball, ice storm, magic missile, shatter, wall of force","41,000 gp",Staff,Ultimate Equipment,strong,5,82000,41000,,,1630
Staff Of Feast And Famine,moderate transmutation,8,none,"20,800 gp",5 lbs.,"Leaves sprout from this wooden staff, some green and some black. When the wielder uses the staff, he plucks one of the leaves: a green leaf to provide sustenance or a black leaf to cause hunger or thirst. The staff allows the use of the following spells:   • Create water (1 charge)   • Goodberry (1 charge)   • Purify food and drink (1 charge)   • Cup of dust (2 charges; Advanced Player's Guide)   • Feast of ashes (2 charges; Advanced Player's Guide)","Craft Staff, create water, cup of dust, feast of ashes, goodberry, purify food and drink","10,400 gp",Staff,Ultimate Equipment,moderate,5,20800,10400,,,1631
Staff Of Fire,moderate evocation,8,none,"18,950 gp",5 lbs.,"Crafted from bronzewood with brass bindings, this staff allows use of the following spells:   • Burning hands (1 charge)   • Fireball (2 charges)   • Wall of fire (3 charges)","Craft Staff, burning hands, fireball, wall of fire","9,475 gp",Staff,Ultimate Equipment,moderate,5,18950,9475,,,1632
Staff Of Frost,moderate evocation,10,none,"41,400 gp",5 lbs.,"Tipped on either end with a glistening diamond, this rune-covered staff allows use of the following spells:   • Ice storm (1 charge)   • Wall of ice (2 charges)   • Cone of cold (3 charges)","Craft Staff, cone of cold, ice storm, wall of ice","20,700 gp",Staff,Ultimate Equipment,moderate,5,41400,20700,,,1633
Staff Of Healing,moderate conjuration,8,none,"29,600 gp",5 lbs.,This white ash staff is decorated with inlaid silver runes. It allows use of the following spells:   • Cure serious wounds (1 charge)   • Lesser restoration (1 charge)   • Remove blindness/deafness (2 charges)   • Remove disease (3 charges),"Craft Staff, cure serious wounds, lesser restoration, remove blindness/deafness, remove disease","14,800 gp",Staff,Ultimate Equipment,moderate,5,29600,14800,,,1634
Staff Of Heaven And Earth,moderate transmutation,9,none,"54,000 gp",5 lbs.,"Topped by a swirling cloudy stone and wrapped with black iron filigree, this staff allows use of the following spells:   • Gust of wind (1 charge)   • Stone shape (1 charge)   • Air walk (2 charges)   • Control winds (2 charges)   • Spike stones (2 charges)","Craft staff, air walk, control winds, gust of wind, spike stones, stone shape","27,000 gp",Staff,Ultimate Equipment,moderate,5,54000,27000,,,1635
Staff Of Hoarding,moderate varies,11,none,"55,866 gp",5 lbs.,This gorgeous teak shaft has many gold and silver coins hammered into it. It allows use of the following spells:   • Identify (1 charge)   • Locate object (1 charge)   • Magic aura (1 charge)   • Secret chest (2 charges)   • Legend lore (3 charges),"Craft Staff, identify, legend lore, locate object, magic aura, secret chest","30,016 gp",Staff,Ultimate Equipment,moderate,5,55866,30016,,,1636
Staff Of Hungry Shadows,strong varies,13,none,"69,300 gp",5 lbs.,"This staff is made of scorched and twisted wood and is set with a crystal sphere filled with swirling smoke. It allows the use of the following spells:   • Darkness (1 charge)   • Ray of enfeeblement (1 charge)   • Vampiric touch (1 charge)   • Enervation (2 charges)   • Summon shadow (as summon monster V but summons 1 shadow, 2 charges)   • Call devourer (as planar binding but calls 1 devourer, 3 charges)","Craft Staff, darkness, enervation, planar binding, ray of enfeeblement, summon monster V, vampiric touch","34,650 gp",Staff,Ultimate Equipment,strong,5,69300,34650,,,1637
Staff Of Illumination,strong evocation,15,none,"51,500 gp",5 lbs.,This staff is usually sheathed in a layer of silver and decorated with gold and amber sunbursts. A staff of illumination allows use of the following spells:   • Dancing lights (1 charge)   • Flare (1 charge)   • Daylight (2 charges)   • Sunburst (3 charges),"Craft Staff, dancing lights, daylight, flare, sunburst","25,750 gp",Staff,Ultimate Equipment,strong,5,51500,25750,,,1638
Staff Of Illusion,strong illusion,13,none,"82,000 gp",5 lbs.,"This staff is made from ebony or other dark wood and carved into an intricately twisted, fluted, or spiral shape. It allows use of the following spells:   • Disguise self (1 charge)   • Major image (1 charge)   • Mirror image (1 charge)   • Persistent image (2 charges)   • Rainbow pattern (2 charges)   • Mislead (3 charges)","Craft Staff, disguise self, major image, mirror image, mislead, persistent image, rainbow pattern","41,000 gp",Staff,Ultimate Equipment,strong,5,82000,41000,,,1639
Staff Of Journeys,moderate varies,8,none,"27,200 gp",5 lbs.,"This walking stick, which still has dark gray bark along its entire length, branches into an ornate fork at its top, decorated with wildflowers and different kinds of leaves. It allows use of the following spells:   • Detect snares and pits (1 charge)   • Endure elements (1 charge)   • Longstrider (1 charge)   • Pass without trace (1 charge)   • Freedom of movement (2 charges)","Craft Staff, detect snares and pits, endure elements, freedom of movement, longstrider, pass without trace","13,600 gp",Staff,Ultimate Equipment,moderate,5,27200,13600,,,1640
Staff Of Life,moderate conjuration,11,none,"109,400 gp",5 lbs.,"A staff of life is made of thick polished oak shod in gold and decorated with sinuous runes of silver or ivory, which depict various cycles of life and death according to different cultures. This staff allows use of the following spells:   • Heal (1 charge)   • Raise dead (5 charges)","Craft Staff, heal, raise dead","79,700 gp",Staff,Ultimate Equipment,moderate,5,109400,79700,,,1641
Staff Of Many Rays,moderate evocation and necromancy,11,none,"57,200 gp",5 lbs.,The elaborate swirls and delicate flecks of shining metal adorning the head of this pale wooden shaft make it seem almost as much a long mace as a staff. It allows use of the following spells:   • Ray of enfeeblement (1 charge)   • Ray of exhaustion (1 charge)   • Scorching ray (1 charge)   • Enervation (2 charges)   • Disintegrate (3 charges),"Craft Staff, disintegrate, enervation, ray of enfeeblement, ray of exhaustion, scorching ray","28,600 gp",Staff,Ultimate Equipment,moderate,5,57200,28600,,,1642
Staff Of Minor Arcana,moderate abjuration and evocation,8,none,"8,000 gp",5 lbs.,This gleaming staff is made of polished silver and capped with a simple gemstone. It is frequently given as a gift to apprentice spellcasters upon completing their tutelage. The staff allows use of the following spells:   • Shield (1 charge)   • Magic missile (2 charges),"Craft Staff, magic missile, shield","4,000 gp",Staff,Ultimate Equipment,moderate,5,8000,4000,,,1643
Staff Of Mithral Might,moderate transmutation,11,none,"58,000 gp",7 lbs.,"This staff is made of silver, with a shimmering sphere of mithral at either end. One end features a golden snake wrapped around the staff and cradling the larger of these two mithral spheres. The staff may be used as a weapon, functioning as a +2/+2 quarterstaff. It also grants a +2 enhancement bonus to Intelligence to whoever possesses it. These two attributes continue to function after all the charges are expended. It allows the use of the following spells:  • Bull's strength (1 charge)  • Enlarge person (1 charge)  • Telekinesis (3 charges)  • Flesh to stone (4 charges)","Craft Magic Arms and Armor, Craft Staff, bull's strength, enlarge person, flesh to stone, fox's cunning, telekinesis","29,300 gp",Staff,Ultimate Equipment,moderate,7,58000,29300,,+2/+2 quarterstaff,1644
Staff Of Necromancy,strong necromancy,13,none,"82,000 gp",5 lbs.,This staff is made from ebony or other dark wood and carved with images of bones and skulls mingled with strange spidery runes. It allows use of the following spells:   • Cause fear (1 charge)   • Ghoul touch (1 charge)   • Halt undead (1 charge)   • Enervation (2 charges)   • Waves of fatigue (2 charges)   • Circle of death (3 charges),"Craft Staff, cause fear, circle of death, enervation, ghoul touch, halt undead, waves of fatigue","41,000 gp",Staff,Ultimate Equipment,strong,5,82000,41000,,,1645
Staff Of Obstacles,moderate varies,9,none,"52,850 gp",5 lbs.,"Dark and solid, this worn staff appears to be carved of rough stone, yet feels and weighs like light wood. It allows use of the following spells: • Arcane lock (1 charge) • Grease (1 charge) • Wind wall (1 charge) • Wall of fire (2 charges) • Wall of ice (2 charges) • Wall of stone (3 charges)","Craft Staff, arcane lock, grease, wall of fire, wall of ice, wall of stone, wind wall","27,050 gp",Staff,Ultimate Equipment,moderate,5,52850,27050,,,1646
Staff Of One Hundred Hands,strong evocation,17,none,"180,200 gp",5 lbs.,"Sculpted into the shape of dozens of grasping, distorted hands, this staff appears to be carved entirely from one piece of clear crystal. When held, the hands that form the staff distort to resemble the gloves or hands of the person holding it. It allows the use of the following spells:  • Forceful hand (1 charge)  • Interposing hand (1 charge)  • Clenched fist (2 charges)  • Grasping hand (2 charges)  • Crushing hand (3 charges)  This staff also allows the wielder to use mage hand at will.","Craft Staff, clenched fist, crushing hand, forceful hand, grasping hand, interposing hand, mage hand","90,100 gp",Staff,Ultimate Equipment,strong,5,180200,90100,,,1647
Staff Of Passage,strong varies,17,none,"206,900 gp",5 lbs.,This potent item allows use of the following spells:   • Dimension door (1 charge)   • Passwall (1 charge)   • Astral projection (2 charges)   • Greater teleport (2 charges)   • Phase door (2 charges),"Craft Staff, astral projection, dimension door, greater teleport, passwall, phase door","115,950 gp",Staff,Ultimate Equipment,strong,5,206900,115950,,,1648
Staff Of Performance,moderate varies,8,none,"48,800 gp",5 lbs.,"Soon after falling into the hands of a new owner, this piece of finely varnished cedar develops ornamental brass keys, strings, or other decorations that make it look like a stylized version of its owner's favorite type of musical instrument. It allows use of the following spells:   • Calm emotions (1 charge)   • Glibness (1 charge)   • Hypnotic pattern (1 charge)   • Pyrotechnics (1 charge)   • Enthrall (2 charges)   • Major image (2 charges)   • Sculpt sound (2 charges)","Craft Staff, calm emotions, enthrall, glibness, hypnotic pattern, major image, pyrotechnics, sculpt sound","24,400 gp",Staff,Ultimate Equipment,moderate,5,48800,24400,,,1649
Staff Of Power,strong varies,15,none,"235,000 gp",5 lbs.,"A staff of power is a potent magic item with varied offensive and defensive abilities, carved from magically hardened wood. It is usually topped with a glistening gem or orb that burns from within with a flickering red light. The staff allows the use of the following spells:  • Continual flame (1 charge)  • Fireball (heightened to 5th level, 1 charge)  • Levitate (1 charge)  • Lightning bolt (heightened to 5th level, 1 charge)  • Magic missile (1 charge)  • Ray of enfeeblement (heightened to 5th level, 1 charge)  • Cone of cold (2 charges)  • Globe of invulnerability (2 charges)  • Hold monster (2 charges)  • Wall of force (in a 10-ft.-diameter hemisphere around the caster only, 2 charges)  The wielder of a staff of power gains a +2 luck bonus to AC and on saving throws. The staff is also a +2 quarterstaff, and its wielder may use it to smite opponents. If 1 charge is expended (a free action), the staff deals double damage (x3 on a critical hit) for 1 round.  A staff of power can be used for a retributive strike, requiring it to be broken by its wielder. (If this breaking of the staff is purposeful and declared by the wielder, it can be performed as a standard action that does not require the wielder to make a Strength check.) All charges currently in the staff are instantly released in a 30-foot spread. All creatures and objects within 2 squares of the broken staff take an amount of damage equal to 20 x the number of charges in the staff, those 3 or 4 squares away take an amount of damage equal to 15 x the number of charges, and those 5 or 6 squares away take an amount of damage equal to 10 x the number of charges. All those affected can make DC 17 Reflex saves to reduce the damage by half.  The character breaking the staff has a 50% chance of traveling to another plane of existence (01-50 on a d%), but if she does not, the explosive release of spell energy instantly destroys her. Only certain items, including the staff of the magi and the staff of power, are capable of being used for a retributive strike.","Craft Magic Arms and Armor, Craft Staff, cone of cold, continual flame, heightened fireball, globe of invulnerability, hold monster, levitate, heightened lightning bolt, magic missile, heightened ray of enfeeblement, wall of force","117,500 gp",Staff,Ultimate Equipment,strong,5,235000,117500,,+2 quarterstaff,1650
Staff Of Radiance,moderate evocation,8,none,"23,200 gp",5 lbs.,"This silver-tipped willow staff constantly emits light, as if from a light spell-the radiance is emitted from the staff's metallic end and flickers as if with flame. The staff's wielder can deactivate or activate this glowing light as a swift action. In addition, a staff of radiance allows use of the following spells:  • Glitterdust (1 charge)  • Daylight (2 charges)  • Searing light (2 charges)","Craft Staff, daylight, glitterdust, light, searing light","11,600 gp",Staff,Ultimate Equipment,moderate,5,23200,11600,,,1651
