Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
Rod Of Alertness,moderate varies,11,none,"85,000 gp",4 lbs.,"This rod is indistinguishable from a +1 light mace. The rod bestows a +1 insight bonus on initiative checks. If grasped firmly, it enables the wielder to use detect chaos, detect evil, detect good, detect law, detect magic, discern lies, light, or see invisibility. Each different use is a standard action.  If the head of a rod of alertness is planted in the ground and the possessor wills it to alertness (a standard action), the rod senses any creatures within 120 feet that intend to harm the possessor. At the same time, the rod creates the effect of a prayer spell upon all creatures friendly to the possessor in a 20-foot radius. Immediately thereafter, the rod sends forth a mental alert to these friendly creatures, warning them of any unfriendly creatures within the 120-foot radius. These effects last for 10 minutes, and the rod can perform this function once per day. Last, the rod can be used to simulate the casting of an animate objects spell, utilizing any 11 (or fewer) Small objects located roughly around the perimeter of a 5-foot-radius circle centered on the rod when planted in the ground. Objects remain animated for 11 rounds. The rod can perform this function once per day.","Craft Rod, alarm, animate objects, detect chaos, detect evil, detect good, detect law, detect magic, discern lies, light, prayer, see invisibility","42,500 gp",Rod,Ultimate Equipment,moderate,4,85000,42500,,+1 light mace,1483
Rod Of Balance,faint abjuration and transmutation,5,none,"15,000 gp",5 lbs.,"This short, slender rod appears to be crafted from solid iron, though it is incredibly light. In this shortened form, the rod has no powers. However, when the wielder pushes a small button on one end of the rod (a move action), the rod springs open to a 5-foot length, and its powers become available for use. Once extended, the rod possesses several powers that add to the wielder's acrobatic abilities. The wielder of the rod receives a +10 competence bonus on all Acrobatics checks involving long jumps and high jumps; additionally, the wielder covers double the normal distance for a jump when making an Acrobatics check. The individual holding the rod also gain a +4 dodge bonus to AC when fighting defensively instead of the usual +2 bonus. Also, while using this item, the user of the rod cannot be knocked prone, and takes only half damage from falling.","Craft Rod, cat's grace, feather fall, jump","7,500 gp",Rod,Ultimate Equipment,faint,5,15000,7500,,,1484
Rod Of Beguiling,faint abjuration,5,none,"18,000 gp",5 lbs.,"This eye-catching rod is bedecked with glittering spangles. The wielder gains a +5 competence bonus on Bluff and Sleight of Hand checks, as well as on opposed Charisma checks to give commands to charmed creatures..   A rod of beguiling allows a bard's fascinate, suggestion, and mass suggestion bardic performance to take effect as if she were 5 levels higher, and grants a +5 bonus on a bard's Perform checks when using distraction.","Craft Rod, hypnosis","9,000 gp",Rod,Ultimate Equipment,faint,5,18000,9000,,,1485
Rod Of Cancellation,strong abjuration,17,none,"11,000 gp",5 lbs.,"This dreaded rod is a bane to magic items, for its touch drains an item of all magical properties. The item touched must make a successful DC 23 Will save to prevent the rod from draining it. If a creature is holding it at the time, then the item can use the holder's Will save bonus in place of its own if the holder's is better. In such cases, contact is made by making a melee touch attack roll. Upon draining an item, the rod becomes brittle and cannot be used again. Drained items are only restorable by a wish or miracle spell. If a sphere of annihilation and a rod of cancellation negate each other, nothing can restore either of them.","Craft Rod, mage's disjunction","5,500 gp",Rod,Ultimate Equipment,strong,5,11000,5500,,,1486
Rod Of Dwarven Might,strong transmutation,19,none,"80,000 gp",10 lbs.,"This dwarven version of the more famous rod of lordly might has no spell-like powers; however, when wielded by a dwarf, it increases all AC, attack roll, CMD, CMB, and saving throw bonuses from a dwarf's racial traits by +1. The rod shares the mundane powers of a rod of lordly might, but its magical weapon forms are tailored to dwarven preferences.  • In its normal form, the rod can be used as a +1 returning light hammer.  • When button 1 is pushed, the rod becomes a +3 dwarven longhammer.  • When button 2 is pushed, the rod becomes a +4 dwarven waraxe.  • When button 3 is pushed, the rod becomes a +2 light crossbow or +2 heavy crossbow.","Craft Magic Arms and Armor, Craft Rod, bull's strength","40,000 gp",Rod,Ultimate Equipment,strong,10,80000,40000,,+1 returning light hammer|+3 dwarven longhammer|+4 dwarven waraxe|+2 light crossbow|+2 heavy crossbow,1487
Rod Of Enemy Detection,moderate divination,10,none,"23,500 gp",5 lbs.,"This device pulses in the wielder's hand and points in the direction of any creature or creatures hostile to the bearer of the device (nearest ones first). These creatures can be invisible, ethereal, hidden, disguised, or in plain sight. The detection range is 60 feet. If the bearer of the rod concentrates for a full round, the rod pinpoints the location of the nearest enemy and indicates how many enemies are within range. The rod can be used to pinpoint enemies three times each day, each use lasting up to 10 minutes. Activating the rod is a standard action.","Craft Rod, true seeing","11,750 gp",Rod,Ultimate Equipment,moderate,5,23500,11750,,,1488
Rod Of Escape,faint evocation,5,none,"15,000 gp",5 lbs.,"Wrought from cold iron, this rod allows its wielder to escape from even the tightest of bonds or grasps. If an opponent grapples the wielder of this rod, the ends of the rod extend, flailing about in an attempt to free the user. The rod's wielder gains a +5 bonus to CMD when attempting to evade or break out of a grapple; additionally, the holder cannot be pinned while wielding the rod.   The rod's wielder gains a +5 competence bonus on Escape Artist checks when restrained by nonmagical and inanimate means, such as ropes or manacles. The rod's owner does not need to be holding the rod to gains this bonus; it must merely be on the owner's person.","Craft Rod, bull's strength, cat's grace, shatter","7,500 gp",Rod,Ultimate Equipment,faint,5,15000,7500,,,1489
Rod Of Flailing,moderate enchantment,9,none,"50,000 gp",5 lbs.,"Upon the command of its possessor, this rod activates, changing from a normal-seeming rod to a +3/+3 dire flail. The dire flail is a double weapon, which means that each of the weapon's heads can be used to attack. The wielder can gain an extra attack (with the second head) at the cost of making all attacks at a -2 penalty (as if she had the Two- Weapon Fighting feat).  Once per day, the wielder can use a free action to cause the rod to grant her a +4 deflection bonus to AC and a +4 resistance bonus on saving throws for 10 minutes. The rod need not be in weapon form to grant this benefit.  Transforming a rod of flailing into a weapon or back into a rod is a move action.","Craft Magic Arms and Armor, Craft Rod, bless","25,000 gp",Rod,Ultimate Equipment,moderate,5,50000,25000,,+3/+3 dire flail,1490
Rod Of Flame Extinguishing,strong transmutation,12,none,15000,5 lbs.,"This rod can extinguish Medium or smaller nonmagical fires with simply a touch (a standard action). For the rod to be effective against other sorts of fires, the wielder must expend 1 or more of the rod's charges.   Extinguishing a Large or larger nonmagical fire or a magic fire of size Medium or smaller (such as that of a flaming weapon or a burning hands spell), expends 1 charge. Continual magic flames, such as those generated by a weapon or a fire creature, are suppressed for 6 rounds and flare up again after that time. To extinguish an instantaneous fire spell, the rod must be within the area of the effect and the wielder must have used a ready action, effectively countering the entire spell.   When applied to Large or larger magic fires, such as those caused by fireball, flame strike, or wall of fire, extinguishing the flames expends 2 charges from the rod.   If a rod of flame extinguishing is touched to a creature with the fire subtype by making a successful melee touch attack, the rod deals 6d6 points of damage to the creature. This use requires 3 charges.   A rod of flame extinguishing has 10 charges when found. Spent charges are renewed every day, so that a wielder can expend up to 10 charges in any 24-hour period.","Craft Rod, pyrotechnics","7,500 gp",Rod,Ultimate Equipment,strong,5,15000,7500,,,1491
Rod Of Ice,moderate evocation,9,none,"8,500 gp",3 lbs.,"This rod looks like a long sliver of ice and is cold to the touch, but deals no cold damage to its wielder. The wearer can use the rod to make a melee touch attack that deals 1d4 points of cold damage to any creature struck. Also, once per day on command, the wielder can touch the rod to the ground to create a 30-foot cone of ice that encrusts the earth, affecting the area as per the spell grease.","Craft Rod, cone of cold","4,250 gp",Rod,Ultimate Equipment,moderate,3,8500,4250,,,1492
Rod Of Lordly Might,strong varies,19,none,"70,000 gp",10 lbs.,"This rod has functions that are spell-like, and it can also be used as a magic weapon of various sorts. In addition, it has several more mundane uses. The rod of lordly might is metal and thicker than other rods, with a flanged ball at one end and six studlike buttons along its length. Pushing any of the rod's buttons is an action equivalent to drawing a weapon, and the rod weighs 10 pounds.  The following spell-like functions of the rod can each be used once per day.  • Use hold person upon a touched creature, if the wielder so commands (Will DC 14 negates). The wielder must choose to use this power (a free action) and then succeed at a melee touch attack to activate the power. If the attack fails, the effect is lost.  • Use Fear upon all enemies viewing it, if the wielder so desires (10-foot maximum range, Will DC 16 partial). Invoking this power is a standard action.  • Deal 2d4 hit points of damage to an opponent on a successful touch attack (Will DC 17 half) and cure the wielder of the same amount of damage. The wielder must choose to use this power before attacking, as with hold person.  The following functions of the rod have no limit on the number of times they can be employed.  • In its normal form, the rod can be used as a +2 light mace.  • When button 1 is pushed, the rod becomes a +1 flaming longsword. A blade springs from the ball, with the ball itself becoming the sword's hilt. The weapon stretches to an overall length of 4 feet.  • When button 2 is pushed, the rod becomes a +4 battleaxe. A wide blade springs forth from the ball, and the whole weapon lengthens to 4 feet.  • When button 3 is pushed, the rod becomes a +3 shortspear or a +3 longspear. A spear blade springs forth, and the handle can be lengthened up to 12 feet (wielder's choice) for an overall length ranging from 6 feet to 15 feet. At its 15-foot length, the rod is suitable for use as a lance.  The following other functions of the rod also have no limit on the number of times they can be employed.  • When button 4 is pushed, a spike that can anchor in stone is extruded from the ball, while the other end sprouts three sharp hooks. The rod lengthens to anywhere between 5 and 50 feet in a single round, stopping when button 4 is pushed again. Horizontal bars 3 inches long fold out from the sides, 1 foot apart, in a staggered progression. The rod is firmly held by the spike and hooks and can bear up to 4,000 pounds. The wielder can retract the climbing pole by pushing button 5.  • The ladder function can be used to force open doors. The wielder plants the rod's base 30 feet or less from the portal to be forced and in line with it, then pushes button 4. The force exerted has a Strength modifier of +12.  • When button 6 is pushed, the rod indicates magnetic north and gives the wielder knowledge of his approximate depth beneath the surface or height above it.","Craft Magic Arms and Armor, Craft Rod, bull's strength, fear, flame blade, hold person, inflict light wounds","35,000 gp",Rod,Ultimate Equipment,strong,10,70000,35000,,+2 light mace|+1 flaming longsword|+4 battleaxe|+3 shortspear|+3 longspear,1493
Rod Of Metal And Mineral Detection,moderate divination,9,none,"10,500 gp",5 lbs.,"This rod is valued by treasure hunters and miners alike, for it pulses and hums in the wielder's hand in the proximity of metal. As the wearer aims the rod, the pulsations grow more noticeable as it points to the largest mass of metal within 30 feet. However, the wielder can also concentrate on a specific metal or mineral. If the specific mineral is within 30 feet, the rod points to any places it is located, and the rod wielder knows the approximate quantity as well. If more than one deposit of the specified metal or mineral is within range, the rod points to the largest cache first. Each operation requires a full-round action.","Craft Rod, locate object","5,250 gp",Rod,Ultimate Equipment,moderate,5,10500,5250,,,1494
Rod Of Mind Mastery,moderate abjuration and divination,7,none,"67,000 gp",5 lbs.,"This rod is a simple, unadorned piece of clear crystal that has been magically hardened. The wielder of the rod is under a constant nondetection effect, a s the spell. Furthermore, the rod has the following powers.   • Three times per day on command, the user of the rod can use it to detect thoughts as the spell.   • Once per day as an immediate action, the wielder may determine whether someone is lying to her, as the discern lies spell.","Craft Rod, detect thoughts, discern lies, nondetection","33,500 gp",Rod,Ultimate Equipment,moderate,5,67000,33500,,,1495
Rod Of Negation,strong varies,15,none,"37,000 gp",5 lbs.,"This device negates the spell or spell-like function or functions of magic items. The wielder points the rod at the magic item, and a pale gray beam shoots forth to touch the target device, attacking as a ray (a ranged touch attack). The ray functions as a greater dispel magic spell, except it only affects magic items. To negate instantaneous effects from an item, the rod's wielder needs to have a readied action. The dispel check uses the rod's caster level (15th). The target item gets no saving throw, although the rod can't negate artifacts (even minor artifacts). A rod of negation can function three times per day.","Craft Rod, dispel magic, limited wish or miracle","18,500 gp",Rod,Ultimate Equipment,strong,5,37000,18500,,,1496
Rod Of Nettles,moderate transmutation,8,none,"18,000 gp",5 lbs.,"This wooden rod is engraved with serrated-edged leaves of stinging nettles. This rod acts as a +1 light mace that deals no damage. Instead, the rod's venomous touch (melee touch attack) deals 1d3 points of Dexterity damage and causes the target to become sickened for 1d6 rounds (DC 14 Fortitude negates the sickened effect and halves the Dexterity damage); on a critical hit, no saving throw is allowed.  Once per day on command, the wielder may touch the rod of nettles to ordinary vegetation, causing a 20-foot cube to become tangled with nettle-choked overgrowth as the overgrowth ability of the plant growth spell. Furthermore, creatures entering or within this area are affected as if touched by the rod, though creatures with a natural armor bonus of +3 or greater are immune to this effect. A creature that saves is unaffected by the area's poison for 24 hours.","Craft Rod, plant growth, poison","9,000 gp",Rod,Ultimate Equipment,moderate,5,18000,9000,,+1 light mace,1497
Rod Of Ruin,moderate transmutation,7,none,"16,000 gp",5 lbs.,"This magical item appears to be an old and decaying scepter, with empty sockets for gemstones and rusted iron bands holding its rotting wooden shaft together. Three times per day on command, when the wielder touches the rod to a nonmagical, inanimate object, that object decays, cracks, and withers. The object, which can be no larger than a door or must take up no more than a 5-foot-by-5-foot area, gains the broken condition.","Craft Rod, disintegrate","8,000 gp",Rod,Ultimate Equipment,moderate,5,16000,8000,,,1498
Rod Of Rulership,strong enchantment,20,none,"60,000 gp",8 lbs.,"This rod looks like a royal scepter worth at least 5,000 gp in materials and workmanship alone. The wielder can command the obedience and fealty of creatures within 120 feet when she activates the device (a standard action). Creatures totaling 300 Hit Dice can be ruled, but creatures with Intelligence scores of 12 or higher are each entitled to a DC 16 Will save to negate the effect. Ruled creatures obey the wielder as if she were their absolute sovereign. Still, if the wielder gives a command that is contrary to the nature of the creatures commanded, the magic is broken. The rod can be used for 500 total minutes before it crumbles to dust. This duration need not be continuous.","Craft Rod, mass charm monster","32,500 gp",Rod,Ultimate Equipment,strong,8,60000,32500,,,1499
Rod Of Security,strong conjuration,20,none,"61,000 gp",5 lbs.,"This item creates a nondimensional space, a pocket paradise. There the rod's possessor and as many as 199 other creatures can stay in complete safety for a period of time-up to 200 days divided by the number of creatures affected. All fractions are rounded down. In this pocket paradise, creatures don't age, and natural healing takes place at twice the normal rate. Fresh water and food (fruits and vegetables only) are abundant. The climate is comfortable for all creatures present. Activating the rod (a standard action) causes the wielder and all creatures touching the rod to be transported instantaneously to the paradise. Members of large groups can hold hands or otherwise maintain physical contact, allowing all connected creatures in a circle or a chain to be affected by the rod. Unwilling creatures get a DC 17 Will save to negate the effect. If an unwilling creature succeeds at its save, other creatures beyond that point in a chain can still be affected by the rod.   When the rod's effect expires, is dismissed, or is dispelled, all the affected creatures instantly reappear in the location they occupied when the rod was activated. If something else occupies the space that a traveler would be returning to, then his body is displaced a sufficient distance to provide the space required for reentry. The rod's possessor can dismiss the effect whenever he wishes before the maximum time period expires, but the rod can only be activated once per week.","Craft Rod, gate","30,500 gp",Rod,Ultimate Equipment,strong,5,61000,30500,,,1500
Rod Of Shadows,moderate abjuration,8,none,"64,305 gp",5 lbs.,"This ebon rod is so dark it seems to absorb the light around it. The rod functions as a +2 light mace, and allows its wielder to see in darkness as if she had the see in darkness ability (Bestiary 2 301). Three times per day, the wielder can use it to create a deeper darkness effect (caster level 8th). To use this ability, the rod's wielder must touch the target object, which is a standard action that provokes attacks of opportunity.","Craft Rod, deeper darkness, true seeing","32,305 gp",Rod,Ultimate Equipment,moderate,5,64305,32305,,+2 light mace,1501
Rod Of Splendor,strong conjuration and transmutation,12,none,"25,000 gp",5 lbs.,"The possessor of this fantastically bejeweled rod gains a +4 enhancement bonus to her Charisma score for as long as she holds or carries the item. Once per day, the rod garbs her in magically created clothing of the finest fabrics, and adorns her with furs and jewels.   Apparel created by the magic of the rod remains in existence for 12 hours. However, if the possessor attempts to sell or give away any part of it, use it for a spell component, or the like, all the apparel immediately disappears. The same applies if any of it is forcibly taken from her.   The value of the noble garb created by the rod ranges from 7,000 to 10,000 gp (1d4+6  1,000 gp)-1,000 gp for the fabric alone, 5,000 gp for the furs, and the rest for the jewels (maximum of 20 gems; maximum value 200 gp each).   In addition, the rod has a second special power, usable once per week. Upon command, it creates a palatial tent-a huge pavilion of silk 60 feet across. Inside the tent are temporary furnishings and food suitable to the splendor of the pavilion and sufficient to entertain as many as 100 people. The tent and its trappings last for 1 day. At the end of that time, the tent and all objects associated with it (including any items that were taken out of the tent) disappear.","Craft Rod, eagle's splendor, fabricate, major creation","12,500 gp",Rod,Ultimate Equipment,strong,5,25000,12500,,,1502
Rod Of Steadfast Resolve,moderate abjuration,9,none,"38,305 gp",5 lbs.,"This rod functions as a +2 light mace. It takes the form of a light mace with a head in the shape of a clenched fist. While a character wields this rod, it grants all his allies within a 20-foot-radius burst a +2 morale bonus on saving throws against fear and emotion effects, or a +4 morale bonus on such saves if the ally has the human subtype.  Also, once per day as an immediate action, the wielder can activate the rod to allow himself or a single ally within the rod's aura to reroll a failed saving throw against a spell or effect with the fear or emotion descriptor. The affected creature must take the result of the reroll, even if it is worse.","Craft Rod, bless, calm emotion, creator must have the human subtype","19,305 gp",Rod,Ultimate Equipment,moderate,5,38305,19305,,+2 light mace,1503
Rod Of The Aboleth,moderate transmutation,7,none,"29,000 gp",5 lbs.,"The rod of the aboleth acts as a +1 corrosive light mace. One end of the rod has three eye-shaped rubies imbedded in it, while the other end comes to a sharp point. When exposed to moisture, the surface of the rod takes on a slimy sheen that doesn't affect the wielder's grip. This rod has the following powers.  • Once per day as a free action, when the rod hits a living creature, the target must succeed at a DC 18 Fortitude saving throw or take 1d4 points of Constitution damage.  • Once per day as a free action, when the rod hits a living creature, the creature must succeed at a DC 13 Will saving throw or be affected as though targeted with a aboleth's lung spell (Advanced Race Guide).  • On command for 1 minute per day, the wielder may gain a swim speed of 60 feet for 1 minute. This time need not be continuous, and can be spent in 1-round increments.","Craft Rod, aboleth's lung, acid arrow, touch of the sea (Advanced Player's Guide)","14,500 gp",Rod,Ultimate Equipment,moderate,5,29000,14500,,+1 corrosive light mace,1504
Rod Of The Python,moderate transmutation,10,none,"13,000 gp",10 lbs.,"Unlike with most rods, one end of this rod curls and twists back on itself in a crook-the tip of this crook sometimes looks like the head of a snake. The rod itself is about 4 feet long and weighs 10 pounds. It strikes as a +1/+1 quarterstaff. If the user throws the rod to the ground (a standard action), it grows to become a constrictor snake by the end of the round. The python obeys all commands of the owner. (In animal form, it retains the +1 enhancement bonus on attack and damage rolls possessed by the rod form.) The serpent returns to rod form (a full-round action) whenever the wielder desires, or whenever it moves farther than 100 feet from the owner. If the snake form is slain, it returns to rod form and cannot be activated again for 3 days. A rod of the python only functions if the possessor is good.","Craft Magic Arms and Armor, Craft Rod, baleful polymorph, creator must be good","6,500 gp",Rod,Ultimate Equipment,moderate,10,13000,6500,,+1/+1 quarterstaff,1505
Rod Of The Viper,moderate necromancy,10,none,"19,000 gp",5 lbs.,"This rod strikes as a +2 heavy mace. Once per day, upon the wielder's command, the head of the rod becomes that of an actual serpent for 10 minutes. During this period, any successful strike with the rod deals its usual damage and also poisons the creature hit. This poison deals 1d3 points of Constitution damage per round for 6 rounds. Poisoned creatures can make a DC 16 Fortitude save each round to negate the damage and end the affliction. Multiple hits extend the duration by 3 rounds and increase the DC by 2 for each hit. The rod only functions if its possessor is evil.","Craft Rod, Craft Magic Arms and Armor, poison, creator must be evil","9,500 gp",Rod,Ultimate Equipment,moderate,5,19000,9500,,+2 heavy mace,1506
Rod Of The Wayang,moderate evocation,8,none,"12,000 gp",5 lbs.,"This rod is lacquered jet black, covered with bright white runes, and capped with crown of jagged smoky quartz. When the rod's wielder casts a spell of the shadow subschool, she increases the DC of that spell's saving throw by 1. Furthermore, once per day on command, wielder can treat positive and negative energy effects as if she were an undead creature, taking damage from positive energy and healing damage from negative energy. This ability lasts for 1 minute unless dismissed as a free action.","Craft Rod, shadow conjuration greater, shadow evocation greater","6,000 gp",Rod,Ultimate Equipment,moderate,5,12000,6000,,,1507
