Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
Adamantine Breastplate,no aura (nonmagical),-,armor,"10,200 gp",30 lbs.,"This nonmagical breastplate is made of adamantine, giving its wearer damage reduction of 2/-.",,,Armor,PFRPG Core,none,30,10200,0,,,305
Dwarven Plate,no aura (nonmagical),-,armor,"16,500 gp",50 lbs.,"This full plate is made of adamantine, giving its wearer damage reduction of 3/-.",,,Armor,PFRPG Core,none,50,16500,0,,,306
Dragonhide Plate,no aura (nonmagical),-,armor,"3,300 gp",50 lbs.,"This suit of full plate is made of dragonhide, rather than metal, so druids can wear it. It is otherwise identical to masterwork full plate.",,,Armor,PFRPG Core,none,50,3300,0,,,307
Elven Chain,no aura (nonmagical),-,armor,"5,150 gp",20 lbs.,"This extremely light chainmail is made of very fine mithral links. This armor is treated, in all ways, like light armor, including when determining proficiency. The armor has an arcane spell failure chance of 20%, a maximum Dexterity bonus of +4, and an armor check penalty of -2.",,,Armor,PFRPG Core,none,20,5150,0,,,308
Mithral Shirt,no aura (nonmagical),-,armor,"1,100 gp",10 lbs.,"This extremely light chain shirt is made of very fine mithral links. The armor has an arcane spell failure chance of 10%, a maximum Dexterity bonus of +6, and no armor check penalty. It is considered light armor.",,,Armor,PFRPG Core,none,10,1100,0,,,309
Darkwood Buckler,no aura (nonmagical),-,shield,205 gp,2.5 lbs.,"This nonmagical light wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.",,,Armor,PFRPG Core,none,2.5,205,0,,,310
Darkwood Shield,no aura (nonmagical),-,shield,257 gp,5 lbs.,"This nonmagical heavy wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.",,,Armor,PFRPG Core,none,5,257,0,,,311
Mithral Heavy Shield,no aura (nonmagical),-,shield,"1,020 gp",5 lbs.,This heavy shield is made of mithral and thus is much lighter than a standard steel shield. It has a 5% arcane spell failure chance and no armor check penalty.,,,Armor,PFRPG Core,none,5,1020,0,,,312
"Silver Dagger, Masterwork",no aura (nonmagical),-,none,322 gp,1 lb.,"As a masterwork weapon, this alchemical silver dagger has a +1 enhancement bonus on attack rolls (but not to damage rolls).",,,Weapon,PFRPG Core,none,1,322,0,,,313
Truecolor Dye,faint divination,1,none,50 gp,-,"Horticulturists harvest this magical dye from the pulp of rare plants found only in the lushest regions of Tian Xia. Bisby first encountered this dye while visiting the royal courts of the Miracle Samurai during his early adventures as a Pathfinder. He made a point of returning with several bottles, and the decision served him well over the next several decades. Truecolor dye produces vibrant colors, yet the actual color that registers varies according to the personality and temperment of the viewer-the viewer's good, neutral, or evil alignment component determines the color he sees. Good viewers see a pleasing gold, while evil viewers see a rich blood red. A neutral viewer sees the dye as its actual color, a dull orange. Centuries ago, truecolor dye was used in the miracle courts of Tian Xia as a way to trick emissaries into revealing their alignments, but its secret has long since been disseminated on the eastern continent and lost its hidden value. A DC 25 Knowledge (geography or nature) check reveals the dye's nature. A single vial of truecolor dye is enough to coat a square foot of material, or to ink 5 pages of text. Once applied, truecolor dye is permanent, although it can be washed off with universal solvent.","Craft Wondrous Item, detect good or detect evil",25 gp,Wondrous Item,AP 27,none,none,50,25,,,325
Bones of Founder Raccona,faint enchantment,4,none,"2,250 gp",0 to 1 lb. each (entire set weighs 8 lbs.),"The bones of Founder Raccona are small, blackened bone fragments, most no more than an inch long, and that radiate a faint, soothing warmth. Each bone grants the bearer 1 temporary hit point. These temporary hit points stack with other temporary hit points gained from possessing multiple bones of Founder Raccona, but not with those from other sources. These temporary hit points return daily at dawn. There are a total of 32 bones that bear the power of the Founder Raccona. In addition to granting temporary hit points, the bearer of one or more of these bones is always aware of the presence of other bones of Founder Raccona within 50 feet. The bones also possess a mild drive to seek out their remaining pieces. Every time a character acquires a bone of Founder Raccona, she must make a Will save (DC 10 + the number of bones of Founder Raccona in her possession). Failure causes the character to have a dream of Founder Raccona that encourages her to seek out the other bones. This dream does not force the character to act, but suggests that seeking the remaining bones would be a benevolent act. Should all 32 bones of Founder Raccona ever be gathered together, they immediately crumble to dust and release Raccona's soul to the afterlife, losing all power.","Craft Wondrous Item, aid","1,125 gp",Wondrous Item,AP 27,none,none,2250,1125,,,327
Clasp of the Mind Scream,moderate evocation,8,head,"12,800 gp",1 lb.,"This strange device grants the ability to mentally communicate with others, yet proves difficult to control. It generates a constant field of mental static that grants the wearer a +1 bonus on Will saves against mind-affecting effects. The wearer may generate an attack similar to the spell shout, though the sound is mental, and thus does not affect items or creatures immune to mind-affecting effects, and its damage is not affected by sonic vulnerability, resistance, or immunity. In addition, as part of the attack, the wearer may make a DC 20 Charisma check to shape a specific noise or message of five words or fewer. These sounds are purely mental and not heard by any creature outside the area of effect. The wearer may use this effect 1d3 times per day. The GM determines how many times per day the clasp of the mind scream can be used. If the wearer attempts to use the clasp beyond this number of times, he is affected by its effects and the clasp is inert for the next 24 hours.","Craft Wondrous Item, detect thoughts, shout","6,400 gp",Wondrous Item,AP 27,none,none,12800,6400,,,328
Entwined Syrinx,moderate illusion,7,none,"15,300 gp",2 lbs.,"This complex wind instrument is made of interwoven, gilded pipes. It is considered a masterwork musical instrument, granting a +2 bonus on all Perform (wind instrument) checks. The bonus is also added to the DC of any bardic performances made using the entwined syrinx. Anytime anyone attempts to play the entwined syrinx, however, he must make a DC 15 Will save or be compelled to play a dirge of somber beauty. The dirge acts like the fascinate bardic performance- even if the character is not a bard or cannot use Perform (wind instrument)-affecting every creature within 90 feet able to see and hear the character, including the musician playing the entwined syrinx. The DC to resist this effect is 12 + the character's Charisma modifier (though if it is being played by a bard, the DC increases to include 1/2 the bard's level; the +2 Perform bonus is included). This effect persists and the musician continues to play for 1 hour, or until the performance is interrupted.","Craft Wondrous Item, hypnotic pattern","7,150 gp",Wondrous Item,AP 27,none,none,15300,7150,,,329
Felhart,moderate divination,6,none,"22,375 gp",4 lbs.,"Felhart is a +2 bane longbow crafted from the fiercely carved horns of at least two venerable stags and strung with a cord laced with silver. The designated foe that its bane effect functions against varies, being determined by the creature a wielder hates the most when the bow is first picked up (as decided upon by the GM). This bane effect remains the same for a wielder, regardless of how many times he's used the bow. Thus, for one user it might be a +2 bane vs. humanoids (humans) longbow, while for another it might be a +2 bane vs. dragons longbow. A wielder can do nothing to change the bow's bane effect. In addition, once per week, felhart's wielder can summon a reliable steed as per the spell mount. This creature takes the form of a lean, swift white elk that, despite its almost ghostly appearance, possesses the same statistics as a horse. This creature allows felhart's wielder to ride it, and serves loyally for up to 5 hours, vanishing at the end of this time. The mount will not allow any creature beside felhart's wielder to ride it unless the weapon's bearer succeeds at a DC 16 Handle Animal check. Even if this check succeeds, the mount only allows another rider to ride along with the weapon bearer. The elk never allows a strange rider to ride it alone.","Craft Magic Arms and Armor, true strike","11,187 gp",Weapon,AP 27,none,none,22375,11187,,+2 bane longbow,330
Golden Dragon Kite,faint evocation,3,none,"3,600 gp",2 lbs.,"This painted silk kite depicts a shining golden dragon. In an area with 40 feet or more of vertical space and in conditions of light to moderate wind, a golden dragon kite can be unfolded and raised into the air as a full-round action. The user can direct the kite to move up to 100 feet from him in a single turn (but no farther). Three times per day, the kite can cast burning hands. The spell originates from the kite but acts as normal in all other ways. This spell can only be reproduced while the kite is flying, a process that takes 1 minute to achieve. Rumors say that in Minkai, versions of these kites exist that deliver other spells at great range.","Craft Wondrous Item, burning hands","1,800 gp",Wondrous Item,AP 27,none,none,3600,1800,,,331
Hand of Abendego,moderate evocation,9,neck,"20,258 gp",2 lbs.,"This nearly perfect pearl replica of a hand is attached to a gold chain and can be worn as an amulet. Once per day, the wearer can animate the hand as an immediate action. The hand attempts to grapple an adjacent foe of Medium size or smaller, using the wearer's CMB. If it succeeds, the hand deals 1d4 non-lethal damage every round it maintains a grapple. If the grapple attempt fails or the victim escapes the grapple, the hand ceases its activity. If any creature within reach of the amulet (including the wearer) attempts to steal anything, the hand activates and attempts to choke the creature. If the amulet is not currently worn, it uses the victim's own CMB and Strength to determine the attack bonus and damage.","Craft Wondrous Item, interposing hand","10,129 gp",Wondrous Item,AP 27,none,none,20258,10129,,,332
Dream Journal of the Pallid Seer,no aura (or faint divination),3,none,600 gp,2 lbs.,"This battered, leather-bound book looks like an aged and heavily worn notebook. Anyone reading the journal for an hour or more has strange dreams the following night, the details of which he cannot remember. The following day the character is fatigued. Reading the journal for a total of 24 hours or more causes the reader to have a prophetic dream wherein he sees his own death-though, as before, he cannot remember the details. If a character who has had this vision comes near death at any point afterward, at the moment he is about to die he may reroll any failed saving throw made within the last round or force an opponent to reroll a killing attack. The character must accept the result of the second roll, regardless of its outcome. Once a character has had the opportunity to avert death, regardless of its success or failure, the journal provides no more benefit and never aids the character again. The Dream Journal of the Pallid Seer is affected by a permanent magic aura that makes it appear to be nonmagical.","Craft Wondrous Item, guidance, magic aura",300 gp,Wondrous Item,AP 27,none,none,600,300,,,333
Kybwa'ka War Mask,faint necromancy,4,head,"3,700 gp",5 lbs.,"This oversized wooden mask covers the face and extends down to a point at the wearer's waist, covering most of his chest and abdomen. It is simplistically carved as a stylized, bestial face distorted with rage or nightmarish styles. The light wood provides little protection, yet is magically reinforced to grant a +1 armor bonus. In addition, once per day as a free action, the wearer can cause the mask to warp and contort ferociously, causing a single creature within 15 feet to make a DC 14 Will save or become frightened. This is a mindaffecting fear effect.","Craft Wondrous Item, scare, shield","1,850 gp",Wondrous Item,AP 27,none,none,3700,1850,,,334
Osirian Spirit Jars,moderate necromancy,7,none,"26,250 gp",2 lbs. a piece,"Typically found in sets of three, these clay jars are decorated with the heads of animals and monsters. Though they once likely contained the preserved viscera of ancient Osirian scholars, nobles, and priests, the jars now hold little more than dust. Their true value lies in the benefits they provide spellcasters seeking to transpose their souls via the spell magic jar. Osirian spirit jars serve as focus items for the spell magic jar, forgoing the spell's need for another focus. All three jars function in this way, allowing a caster to move his soul or that of a nearby target into any one of the three jars, or his own soul between jars and bodies as he pleases. The jars do not allow him to shuffle souls other than his own into different bodies, though he can shift souls between jars. Souls within Osirian spirit jars are permanently affected by magic jar, and can potentially be kept trapped within forever. A caster can only move his soul between bodies while his casting of magic jar is in effect. If his spell expires while he is within an Osirian spirit jar, his soul and those in the other jars are trapped. A soul within an Osirian spirit jar can be freed by opening the jar, allowing the spirit within to try to swap souls with that of the jar's holder as per the spell magic jar (a DC 17 Will save to resist), or return to its body if it is within range. Alternatively, casting magic jar on an Osirian spirit jar containing a spirit, rather than an individual creature, allows that spirit to swap bodies as if it were the target of the spell. Should a spirit within an Osirian spirit jar no longer have a body or be outside its jar when its magic jar spell ends, it returns to one of the empty Osirian spirit jars if one is in range, or dies if one is not.","Craft Wondrous Item, gentle repose, magic jar","13,125 gp",Wondrous Item,AP 27,none,none,26250,13125,,,335
Skin of Klendar the Troll King,moderate conjuration,8,armor,"16,315 gp",25 lbs.,"This suit of mottled, greenish hide armor has no seams, as if it were made from a single large, disgusting skin. When worn, it tightens to fit snugly against the body. The skin acts as a suit of +2 hide armor and grants the wearer 5 temporary hit points. These hit points regenerate at a rate of 1 hp per round. If the wearer is damaged by fire or acid, the temporary hit points do not regenerate, but may be restored by magical healing. In addition, while wearing the armor, the bearer finds that he can speak Giant with a commanding voice. The wearer gains a +2 bonus on all Diplomacy or Intimidate skill checks made to influence any creature with the giant subtype. This bonus extends to all giants except trolls, which prove utterly offended by the armor, which all too readily resembles the flayed flesh of one of their kind. Any troll treats the wearer of the armor one step less favorably than it otherwise would. In addition, even the most charismatic can never improve a troll's attitude any higher than indifferent while wearing the armor.","Craft Magic Arms and Armor, aid, regenerate","8,157 gp",Armor,AP 27,none,none,16315,8157,,+2 hide armor,336
Talisman of the Orc Mother's Fury,faint conjuration,4,neck,"12,000 gp",2 lbs.,"This small statuette-carved from the tusk of a dire boar, chunks of twisted metal, or some manner of dark stone-is a simplistic depiction of a pregnant deity, fiend, or orc. Dark stains mark the face of the crude icon, typically smears of a fallen orc's blood. A simple strand of leather affixes the amulet around the neck. The figurine allows the wearer to act normally for a single round after being reduced to less than 0 hit points, as though he had the orc ferocity half-orc racial ability. A wearer with orc blood is instead treated as though he had the Diehard feat. If the wearer is of orc blood and already has the Diehard feat, he may act normally for an additional round after being reduced to below 0 hit points. Whenever the wearer of the talisman is reduced to less than 0 hit points, the amulet weeps tears of blood. Should the wearer be slain, the talisman screams and shatters.","creator must be female and possess orc blood, Craft Wondrous Item, cure moderate wounds","6,000 gp",Wondrous Item,AP 27,none,none,12000,6000,,,337
Vudran Ashak Helmet,faint divination,5,head,"22,000 gp",3 lbs.,"Crafted of overlaid bronze, steel, and chain, each Vudran Ashak helmet is a work of art. These exotic helmets possess three stylized faces, each serene visage staring in a different direction (with the wearer's face concealed behind the central sculpted plate). The helm allows the wearer to see in every direction, granting him immunity to being flanked, as well as granting a +4 enhancement bonus on all vision-based Perception checks. One in every 10 Vudran Ashak helmets is an intelligent magical item, having spontaneously manifested such properties after the deaths of heroically devoted former wearers. Such helms are lawful good, speak Vudran, and have an ego score of 10. These lingering personalities prove noble, knowledgable of Vudra's diverse deities, and actively encourage wearers to defend the holy places of such gods and their devout worshipers. Some might even possess goals from their lives that they wish their new wearer to fulfill. Despite any of the helmet's desires, though, it possesses no way to compel a wearer other than deactivating or reactivating its magical properties at will.","Craft Wondrous Item, clairvoyance","11,000 gp",Wondrous Item,AP 27,none,none,22000,11000,,,338
Anvengen's Edge,moderate transmutation,13,none,"11,508 gp",10 lbs.,"This +1 keen glaive bears a fragment of the soul and mind of Westcrown's first mayor after the fall of Aroden and the rise of the House of Thrune. The glaive itself has taken Anvengen's name for its own, but can only communicate with its wielder via empathic urges. If its wielder worships Asmodeus, the glaive uses bleed on any of its wielder's foes it notices is dying, and grants divine favor on a wielder who commands it to do so. If the wielder doesn't worship Asmodeus, the glaive uses bleed on any dying creature it notices and only grants divine favor against chaotic or good foes-if a wielder commands it to not use bleed in a battle or commands it to grant divine favor against a nongood or nonchaotic foe, a personality conflict occurs and the glaive attempts to gain control of the wielder.",Craft Magic Arms and Armor,"5,908 gp",Weapon,AP 26,none,none,11508,5908,,+1 keen glaive,339
The Morrowfall,strong evocation,15,none,,5 lbs.,"The Morrowfall is one-half of the Aohl, an artifact gifted to the ancient Jaytirian Society following a sacred truce between their two feuding gods of millennia past. is the remaining manifestation of the power of Easivra, a potent sun god now all but forgotten (it's a DC 30 Knowledge [religion] check to learn Easivra's name, but any good-aligned creature that touches the Morrowfall immediately knows the name and how to use the artifact's powers). constantly emits daylight, as per the spell. In addition, by presenting it strongly and uttering Easivra's name (a standard action), the Morrowfall can be used to cast the following spells. At Will-detect undead, disrupt undead, daze monster (DC 13) 3/day-blindness (DC 13), daylight, searing light 1/day-sunbeam (DC 20), sunburst (DC 22)",,,Artifact,AP 27,none,none,0,0,,,343
"Feather Token, Anchor",strong conjuration,12,none,50 gp,-,Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Anchor: A token that creates an anchor that moors a craft in water so as to render it immobile for up to 1 day.,"Craft Wondrous Item, major creation",25 gp,Wondrous Item,PFRPG Core,strong,0,50,25,,,345
"Feather Token, Bird",strong conjuration,12,none,300 gp,-,Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Bird: A token that creates a small bird that can be used to deliver a small written message unerringly to a designated target. The token lasts as long as it takes to carry the message.,"Craft Wondrous Item, major creation",150 gp,Wondrous Item,PFRPG Core,strong,0,300,150,,,346
"Feather Token, Fan",strong conjuration,12,none,200 gp,-,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Fan: A token that forms a huge flapping fan, causing a breeze of sufficient strength to propel one ship (about 25 mph). This wind is not cumulative with existing wind speed. The token can, however, be used to lessen existing winds, creating an area of relative calm or lighter winds (but wave size in a storm is not affected). The fan can be used for up to 8 hours. It does not function on land.","Craft Wondrous Item, major creation",100 gp,Wondrous Item,PFRPG Core,strong,0,200,100,,,347
"Feather Token, Swan Boat",strong conjuration,12,none,450 gp,-,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Swan Boat: A token that forms a swan-like boat capable of moving on water at a speed of 60 feet. It can carry eight horses and gear, 32 Medium characters, or any equivalent combination. The boat lasts for 1 day.","Craft Wondrous Item, major creation",225 gp,Wondrous Item,PFRPG Core,strong,0,450,225,,,348
"Feather Token, Tree",strong conjuration,12,none,400 gp,-,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Tree: A token that causes a great oak to spring into being (5-footdiameter trunk, 60-foot height, 40-foot top diameter). This is an instantaneous effect.","Craft Wondrous Item, major creation",200 gp,Wondrous Item,PFRPG Core,strong,0,400,200,,,349
"Feather Token, Whip",strong conjuration,12,none,500 gp,-,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Whip: A token that forms into a huge leather whip and wields itself against any opponent desired just like a dancing weapon. The weapon has a +10 base attack bonus, does 1d6+1 points of nonlethal damage, has a +1 enhancement bonus on attack and damage rolls, and a makes a free grapple attack (with a +15 bonus on its combat maneuver checks) if it hits. The whip lasts no longer than 1 hour.","Craft Wondrous Item, major creation",250 gp,Wondrous Item,PFRPG Core,strong,0,500,250,,,350
"Pearl of Power, 1st Level Spell",strong transmutation,17,none,"1,000 gp",-,"This seemingly normal pearl of average size and luster is a potent aid to all spellcasters who prepare spells (clerics, druids, rangers, paladins, and wizards). Once per day on command, a pearl of power enables the possessor to recall any one spell that she had prepared and then cast that day. The spell is then prepared again, just as if it had not been cast. The spell must be of a particular level, depending on the pearl. Different pearls exist for recalling one spell per day of each level from 1st through 9th and for the recall of two spells per day (each of a different level, 6th or lower).","Craft Wondrous Item, creator must be able to cast spells of the spell level to be recalled",500 gp,Wondrous Item,PFRPG Core,strong,0,1000,500,,,365
"Pearl of Power, 2nd Level Spell",strong transmutation,17,none,"4,000 gp",-,"This seemingly normal pearl of average size and luster is a potent aid to all spellcasters who prepare spells (clerics, druids, rangers, paladins, and wizards). Once per day on command, a pearl of power enables the possessor to recall any one spell that she had prepared and then cast that day. The spell is then prepared again, just as if it had not been cast. The spell must be of a particular level, depending on the pearl. Different pearls exist for recalling one spell per day of each level from 1st through 9th and for the recall of two spells per day (each of a different level, 6th or lower).","Craft Wondrous Item, creator must be able to cast spells of the spell level to be recalled","2,000 gp",Wondrous Item,PFRPG Core,strong,0,4000,2000,,,366
"Pearl of Power, 3rd Level Spell",strong transmutation,17,none,"9,000 gp",-,"This seemingly normal pearl of average size and luster is a potent aid to all spellcasters who prepare spells (clerics, druids, rangers, paladins, and wizards). Once per day on command, a pearl of power enables the possessor to recall any one spell that she had prepared and then cast that day. The spell is then prepared again, just as if it had not been cast. The spell must be of a particular level, depending on the pearl. Different pearls exist for recalling one spell per day of each level from 1st through 9th and for the recall of two spells per day (each of a different level, 6th or lower).","Craft Wondrous Item, creator must be able to cast spells of the spell level to be recalled","4,500 gp",Wondrous Item,PFRPG Core,strong,0,9000,4500,,,367
"Pearl of Power, 4th Level Spell",strong transmutation,17,none,"16,000 gp",-,"This seemingly normal pearl of average size and luster is a potent aid to all spellcasters who prepare spells (clerics, druids, rangers, paladins, and wizards). Once per day on command, a pearl of power enables the possessor to recall any one spell that she had prepared and then cast that day. The spell is then prepared again, just as if it had not been cast. The spell must be of a particular level, depending on the pearl. Different pearls exist for recalling one spell per day of each level from 1st through 9th and for the recall of two spells per day (each of a different level, 6th or lower).","Craft Wondrous Item, creator must be able to cast spells of the spell level to be recalled","8,000 gp",Wondrous Item,PFRPG Core,strong,0,16000,8000,,,368
"Pearl of Power, 5th Level Spell",strong transmutation,17,none,"25,000 gp",-,"This seemingly normal pearl of average size and luster is a potent aid to all spellcasters who prepare spells (clerics, druids, rangers, paladins, and wizards). Once per day on command, a pearl of power enables the possessor to recall any one spell that she had prepared and then cast that day. The spell is then prepared again, just as if it had not been cast. The spell must be of a particular level, depending on the pearl. Different pearls exist for recalling one spell per day of each level from 1st through 9th and for the recall of two spells per day (each of a different level, 6th or lower).","Craft Wondrous Item, creator must be able to cast spells of the spell level to be recalled","12,500 gp",Wondrous Item,PFRPG Core,strong,0,25000,12500,,,369
"Pearl of Power, 6th Level Spell",strong transmutation,17,none,"36,000 gp",-,"This seemingly normal pearl of average size and luster is a potent aid to all spellcasters who prepare spells (clerics, druids, rangers, paladins, and wizards). Once per day on command, a pearl of power enables the possessor to recall any one spell that she had prepared and then cast that day. The spell is then prepared again, just as if it had not been cast. The spell must be of a particular level, depending on the pearl. Different pearls exist for recalling one spell per day of each level from 1st through 9th and for the recall of two spells per day (each of a different level, 6th or lower).","Craft Wondrous Item, creator must be able to cast spells of the spell level to be recalled","18,000 gp",Wondrous Item,PFRPG Core,strong,0,36000,18000,,,370
"Pearl of Power, 7th Level Spell",strong transmutation,17,none,"49,000 gp",-,"This seemingly normal pearl of average size and luster is a potent aid to all spellcasters who prepare spells (clerics, druids, rangers, paladins, and wizards). Once per day on command, a pearl of power enables the possessor to recall any one spell that she had prepared and then cast that day. The spell is then prepared again, just as if it had not been cast. The spell must be of a particular level, depending on the pearl. Different pearls exist for recalling one spell per day of each level from 1st through 9th and for the recall of two spells per day (each of a different level, 6th or lower).","Craft Wondrous Item, creator must be able to cast spells of the spell level to be recalled","24,500 gp",Wondrous Item,PFRPG Core,strong,0,49000,24500,,,371
"Pearl of Power, 8th Level Spell",strong transmutation,17,none,"64,000 gp",-,"This seemingly normal pearl of average size and luster is a potent aid to all spellcasters who prepare spells (clerics, druids, rangers, paladins, and wizards). Once per day on command, a pearl of power enables the possessor to recall any one spell that she had prepared and then cast that day. The spell is then prepared again, just as if it had not been cast. The spell must be of a particular level, depending on the pearl. Different pearls exist for recalling one spell per day of each level from 1st through 9th and for the recall of two spells per day (each of a different level, 6th or lower).","Craft Wondrous Item, creator must be able to cast spells of the spell level to be recalled","32,000 gp",Wondrous Item,PFRPG Core,strong,0,64000,32000,,,372
